Mach	Beta	AoA	Force_X	Force_Y	Force_Z	CM_X	CM_Y	CM_Z	Cl	Cd	CM_Z_coeff
1.5	0	0	565.496952380952	0.2240055238095237	0.0037595723809523	-0.0319707285714285	-0.0934527523809523	0.5699090476190477	0.0005721339047619	1.4443400000000002	0.0003895332857142
1.5	0	1	567.7343690476188	683.5877660476192	0.0088708554761904	-0.0370826452380951	-0.1205394214285713	1562.628503214286	1.7161154099523812	1.5709223809523811	1.068057745202381
1.5	0	2	569.9717857142855	1366.9515265714288	0.0139821385714285	-0.0421945619047618	-0.1476260904761904	3124.6870973809528	3.4316586860000005	1.697504761904762	2.1357259571190474
1.5	0	3	572.2092023809523	2050.3152870952385	0.0190934216666666	-0.0473064785714285	-0.1747127595238094	4686.74569154762	5.14720196204762	1.824087142857143	3.203394169035714
1.5	0	4	574.446619047619	2733.679047619048	0.0242047047619047	-0.0524183952380952	-0.2017994285714285	6248.804285714286	6.862745238095239	1.950669523809524	4.271062380952381
1.5	0	5	583.3186071428571	3429.281785714285	-0.0224915904761905	-0.0237684238095238	-0.0645568690476189	7841.003214285716	8.58075892857143	2.338862976190476	5.359335357142857
1.5	0	6	592.1905952380952	4124.884523809524	-0.0691878857142857	0.0048815476190475	0.0726856904761905	9433.202142857146	10.298772619047622	2.7270564285714283	6.447608333333332
1.5	0	8	609.9345714285713	5516.089999999998	-0.1625804761904762	0.0621814904761904	0.3471708095238095	12617.600000000004	13.734800000000003	3.503443333333333	8.624154285714283
1.5	0	9	610.3722619047618	6176.336904761903	-0.1863083809523809	0.0915764511904761	0.4184788333333333	14184.500000000004	15.314578571428571	4.092534761904761	9.695121666666664
1.5	0	10	610.8099523809524	6836.583809523807	-0.2100362857142856	0.1209714119047618	0.4897868571428571	15751.400000000003	16.894357142857142	4.68162619047619	10.766089047619044
1.5	0	11	611.2476428571429	7496.830714285712	-0.2337641904761904	0.1503663726190475	0.5610948809523809	17318.300000000003	18.474135714285712	5.270717619047618	11.837056428571426
1.5	0	12	611.6853333333333	8157.077619047616	-0.2574920952380952	0.1797613333333333	0.6324029047619047	18885.200000000004	20.05391428571428	5.859809047619047	12.908023809523806
1.5	0	13	607.7084880952382	8796.933214285713	-0.2688913095238094	0.1716407619047618	0.651631261904762	20436.550000000003	21.513285714285708	6.646664999999999	13.968367857142855
1.5	0	14	603.7316428571429	9436.788809523809	-0.2802905238095237	0.1635201904761904	0.670859619047619	21987.9	22.97265714285713	7.43352095238095	15.028711904761906
1.5	0	16	595.7779523809525	10716.5	-0.3030889523809523	0.1472790476190476	0.7093163333333334	25090.599999999995	25.891399999999987	9.007232857142853	17.149400000000007
1.5	0	17	584.9902142857144	11361.875	-0.2842140595238094	0.1450407857142856	0.6255952261904763	26592.525	27.276924999999988	9.99114964285714	18.175975000000005
1.5	0	19	563.4147380952382	12652.625	-0.2464642738095237	0.1405642619047618	0.4581530119047619	29596.375	30.04797499999999	11.958983214285716	20.229125000000003
1.5	0	21	543.2198809523811	13884.65238095238	-0.2808355714285714	0.0647314642857142	0.5232217261904762	32417.692857142854	32.56723571428571	14.070680952380954	22.157508333333336
