Mach	Beta	AoA	Force_X	Force_Y	Force_Z	CM_X	CM_Y	CM_Z	Cl	Cd	CM_Z_coeff
1.5	0	0	732.9348571428568	-0.0771244571428571	0.0762944857142857	0.4441051904761905	-0.1919884761904761	-0.4566462380952381	-0.0001226836190476	1.1659000000000002	-0.0002280469047619
1.5	0	1	733.1989999999997	885.522156657143	0.0557777641666666	0.4444218333333333	-0.1257379726190475	1854.922515321428	1.3848297730000008	1.263875	0.9263389648214287
1.5	0	2	733.4631428571427	1771.1214377714289	0.0352610426190476	0.4447384761904762	-0.059487469047619	3710.301676880952	2.769782229619049	1.36185	1.8529059765476192
1.5	0	3	733.7272857142857	2656.720718885714	0.0147443210714286	0.4450551190476191	0.0067630345238094	5565.680838440475	4.154734686238097	1.4598250000000002	2.77947298827381
1.5	0	4	733.9914285714286	3542.3200000000006	-0.0057724004761904	0.4453717619047619	0.073013538095238	7421.059999999999	5.5396871428571455	1.5578	3.7060400000000007
1.5	0	5	734.8312142857144	4414.155000000001	-0.0262100051190475	0.4440647023809524	0.1094646535714284	9230.72	6.88231535714286	1.8477932142857143	4.6097775
1.5	0	6	735.6710000000002	5285.990000000002	-0.0466476097619047	0.4427576428571429	0.1459157690476189	11040.380000000005	8.224943571428572	2.1377864285714288	5.513514999999999
1.5	0	7	736.5107857142859	6157.825000000002	-0.0670852144047618	0.4414505833333333	0.1823668845238094	12850.040000000005	9.567571785714286	2.4277796428571428	6.417252499999998
1.5	0	8	737.3505714285717	7029.660000000002	-0.087522819047619	0.4401435238095239	0.2188179999999999	14659.700000000006	10.9102	2.717772857142857	7.320989999999997
1.5	0	9	742.3930476190478	7845.720000000001	-0.1200301619047618	0.4993468214285714	0.1295982261904761	16306.850000000004	12.124249999999998	3.184124642857143	8.143567499999998
1.5	0	10	747.435523809524	8661.779999999999	-0.1525375047619047	0.558550119047619	0.0403784523809523	17954.000000000004	13.338299999999997	3.650476428571429	8.966145
1.5	0	12	757.5204761904764	10293.899999999998	-0.2175521904761904	0.6769567142857141	-0.1380610952380953	21248.3	15.766399999999996	4.58318	10.6113
1.5	0	14	755.0197380952383	11718.95	-0.6554758571428574	1.0872985952380954	-0.0207842785714285	24043.5	17.76745	5.7485	12.0072
1.5	0	15	753.7693690476192	12431.475	-0.8744376904761908	1.292469535714286	0.0378541297619047	25441.1	18.767975	6.33116	12.70515
1.5	0	16	752.5190000000001	13144.0	-1.0933995238095242	1.4976404761904765	0.0964925380952381	26838.700000000004	19.768500000000003	6.913819999999999	13.403099999999998
1.5	0	18	740.9222857142857	14374.254761904762	-1.2852373809523812	1.4771980952380954	-0.4131361119047619	29076.58095238096	21.34859285714286	8.246896904761904	14.520699999999998
1.5	0	19	735.1239285714286	14989.382142857145	-1.3811563095238095	1.4669769047619048	-0.667950436904762	30195.521428571432	22.138639285714287	8.913435357142856	15.0795
1.5	0	20	729.3255714285714	15604.509523809524	-1.477075238095238	1.4567557142857144	-0.922764761904762	31314.46190476191	22.92868571428572	9.579973809523809	15.6383
1.5	0	21	717.4419523809523	16202.422619047618	-3.592593928571429	2.0220338095238093	2.9699942857142863	32403.44404761905	23.62422857142857	10.343577976190474	16.18212976190476
1.5	0	22	705.5583333333333	16800.335714285713	-5.708112619047618	2.5873119047619046	6.862753333333334	33492.42619047619	24.31977142857143	11.10718214285714	16.725959523809525
1.5	0	23	693.6747142857142	17398.248809523808	-7.823631309523809	3.15259	10.755512380952382	34581.40833333333	25.01531428571429	11.870786309523808	17.269789285714285
1.5	0	24	681.7910952380952	17996.161904761902	-9.93915	3.717868095238095	14.64827142857143	35670.39047619047	25.710857142857144	12.634390476190474	17.81361904761905
1.5	0	25	677.7349404761904	18504.934523809523	-6.938065380952381	3.8644351428571424	6.663701916666668	36623.84642857142	26.192482142857145	13.449324999999998	18.289772619047618
1.5	0	26	673.6787857142856	19013.707142857143	-3.9369807619047616	4.011002190476189	-1.320867595238095	37577.30238095237	26.674107142857142	14.26425952380952	18.765926190476183
1.5	0	27	669.6226309523809	19522.479761904764	-0.9358961428571426	4.1575692380952365	-9.305437107142858	38530.75833333333	27.155732142857143	15.079194047619044	19.24207976190476
1.5	0	28	665.5664761904761	20031.252380952385	2.065188476190476	4.304136285714284	-17.29000661904762	39484.21428571428	27.637357142857145	15.894128571428569	19.718233333333327
1.5	0	29	657.9989047619047	20515.34285714286	-4.456347928571429	3.0033047857142847	-2.4140287738095267	40379.70238095237	28.00277619047619	16.764285714285712	20.16543571428571
